ProductID,Brand,ProductName,ProductName_Normalised,AUSTL,DosageForm,PackSize,AdultDose,ChildDose,Directions,Indications_Summary,Cautions_Summary,Contraindications_Summary,Interactions_Summary,PregnancyBreastfeeding_Summary,EvidenceNotes,ClinicalUseTags,AvoidIfTags,MedicineInteractionFlags,CounsellingPointSummary,SourceFile_Primary,SourcePage,SourceSection,ExtractionConfidence,ReviewStatus,Notes
HOG-0030,Herbs of Gold,Collagen Gold,collagen gold,,unknown,,"Add 6g (1 heaped scoop) into 150mL water or other preferred beverage and mix well.
Add 6g (1 heaped scoop) into 150mL water or other preferred beverage and mix well.",,"Add 6g (1 heaped scoop) into 150mL water or other preferred beverage and mix well.
Add 6g (1 heaped scoop) into 150mL water or other preferred beverage and mix well.","Fish collagen
2500mg collagen per serve
Collagen formation support

Fish collagen
2500mg collagen per serve
Collagen formation support

Fish collagen
2500mg collagen per serve
Collagen formation support

Fish collagen
2500mg collagen per serve
Collagen formation support","Collagen is derived from fish.

Collagen is derived from fish.

Collagen is derived from fish.

Collagen is derived from fish.",,"None noted at the recommended dose.

None noted at the recommended dose.

None noted at the recommended dose.

None noted at the recommended dose.",,~0 reference markers in DOCX text,"skin_health, hair_nail_support",,,"Adult dose: Add 6g (1 heaped scoop) into 150mL water or other preferred beverage and mix well.
Add 6g (1 heaped scoop) into 150mL wa | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,54,"Technical Information, Directions, Cautions",Medium,Unreviewed,
HOG-0031,Herbs of Gold,CoQ10 150mg,coq10 150mg,,capsule,60 / 120 capsules,"Adults and children over 12 years - Take 1 capsule daily, with food, or as directed by your health professional.
Children under 12 years – Take only as directed by your health professional.",,"Adults and children over 12 years - Take 1 capsule daily, with food, or as directed by your health professional.
Children under 12 years – Take only as directed by your health professional.","Supports cardiovascular system function
Heart health

Supports cardiovascular system function
Heart health","None noted at the recommended dose.

None noted at the recommended dose.",,"Caution with antihypertensive medication - coenzyme Q10 may have an additive effect. Monitor blood pressure.
Caution with warfarin. Conflicting reports have shown CoQ10 may decrease, increase or have no effect on the efficacy of oral
anticoagulants. Use only under the care of a health professional and monitor INR values.

Caution with antihypertensive medication - coenzyme Q10 may have an additive effect. Monitor blood pressure.
Caution with warfarin. Conflicting reports have shown CoQ10 may dec",,~4 reference markers in DOCX text,"heart_health, energy_support",,,"Adult dose: Adults and children over 12 years - Take 1 capsule daily, with food, or as directed by your health professional.
Childre | Key ingredients: Ubidecarenone (coenzyme Q10) | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,57,"Technical Information, Directions, Cautions",High,Unreviewed,
HOG-0032,Herbs of Gold,Cranberry 70 000,cranberry 70 000,,tablet,50 tablets,"Adults and children over 12 years – Take 1 tablet daily, with food, or as directed by your health professional.
Children under 12 years – Take only as directed by your health professional.",,"Adults and children over 12 years – Take 1 tablet daily, with food, or as directed by your health professional.
Children under 12 years – Take only as directed by your health professional.","High strength – 70g
Urinary tract health","If symptoms of UTI become more severe while taking Cranberry, or if pain or irritation persists for more than 48 hours, medical advice is recommended. The presence of blood in the urine warrants immediate medical attention.
Use with caution in people with iron overload conditions, such as haemochromotosis, as vitamin C increases iron absorption.",,"Caution with warfarin – possible interaction with Cranberry and vitamin C (conflicting reports). Monitor INR.
Caution with aluminium-containing compounds (e.g. phosphate binders) – vitamin C increases the amount of aluminium absorbed. Separate dose by at least 2 hours.",,~4 reference markers in DOCX text,"immune_support, antioxidant_support, skin_health","warfarin, anticoagulant_review_required","anticoagulant, warfarin","Adult dose: Adults and children over 12 years – Take 1 tablet daily, with food, or as directed by your health professional.
Children | Key ingredients: Ascorbic acid (vitamin C) | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,59,"Technical Information, Directions, Cautions",High,Unreviewed,
HOG-0033,Herbs of Gold,Digest-Zymes,digest zymes,,capsule,60 capsules,"Adults and children over 12 years – Take 1 capsule, three times a day, before each meal, or as directed by your health professional.
Children under 12 years – Take only as directed by your health professional.",,"Adults and children over 12 years – Take 1 capsule, three times a day, before each meal, or as directed by your health professional.
Children under 12 years – Take only as directed by your health professional.","Vegetarian friendly enzymes
With Gentian

Vegetarian friendly enzymes
With Gentian","Not recommended in pregnancy due to a lack of safety data.
Contraindicated in peptic ulcer disease, digestive hyperacidity and hypersensitivity to Pineapple.

Not recommended in pregnancy due to a lack of safety data.
Contraindicated in peptic ulcer disease, digestive hyperacidity and hypersensitivity to Pineapple.",,"None noted at the recommended dose.
Best avoided with acid suppressing medication (including proton pump inhibitors) as they have opposing effects.

None noted at the recommended dose.
Best avoided with acid suppressing medication (including proton pump inhibitors) as they have opposing effects.","Not recommended in pregnancy due to a lack of safety data.
Contraindicated in peptic ulcer disease, digestive hyperacidity and hypersensitivity to Pineapple.

Not recommended in pregnancy due to a lack of safety data.
Contraindicated in peptic ulcer disease, digestive hyperacidity and hypersensitivity to Pineapple.",~2 reference markers in DOCX text,,pregnancy_review_required,,"Adult dose: Adults and children over 12 years – Take 1 capsule, three times a day, before each meal, or as directed by your health p | Key ingredients: Lipase, Cellulase | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,60,"Technical Information, Directions, Cautions",High,Unreviewed,
HOG-0034,Herbs of Gold,Echinacea 4000 Complex,echinacea 4000 complex,,tablet,30 / 60 tablets,"Adults and children over 12 years – Take 1 tablet, once or twice daily, with food, or as directed by your health professional.
Not to be used in children under two years of age without medical advice. Not to be used in children under 5 years for relief of mild fever.",,"Adults and children over 12 years – Take 1 tablet, once or twice daily, with food, or as directed by your health professional.
Not to be used in children under two years of age without medical advice. Not to be used in children under 5 years for relief of mild fever.","Angustifolia & purpurea extracts
High strength

Angustifolia & purpurea extracts
High strength","Echinacea may cause allergic reactions in individuals sensitive to plants from the Asteraceae (daisy) family.

Echinacea may cause allergic reactions in individuals sensitive to plants from the Asteraceae (daisy) family.",,"Caution with immunosuppression agents – Echinacea may interfere with immunosuppression due to its immunostimulant activity.

Caution with immunosuppression agents – Echinacea may interfere with immunosuppression due to its immunostimulant activity.",,~8 reference markers in DOCX text,immune_support,,,"Adult dose: Adults and children over 12 years – Take 1 tablet, once or twice daily, with food, or as directed by your health profess | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,62,"Technical Information, Directions, Cautions",Medium,Unreviewed,
HOG-0035,Herbs of Gold,Elderberry Echinacea & Olive Leaf,elderberry echinacea olive leaf,,liquid,10 ml,"Shake well before use. May be taken in water or juice.
Adults and children over 12 years – Take 10mL, three times a day.
Children 6-12 years – Take 5mL, 2-3 times daily. Children 2-5 years – Take 3mL, 2-3 times daily. Or take as directed by your health professional.",,"Shake well before use. May be taken in water or juice.
Adults and children over 12 years – Take 10mL, three times a day.
Children 6-12 years – Take 5mL, 2-3 times daily. Children 2-5 years – Take 3mL, 2-3 times daily. Or take as directed by your health professional.",Traditionally used in Western herbal; medicine to relieve the symptoms of:; Colds & flu; Upper respiratory tract infections; Mild fever,"Echinacea may cause allergic reactions in individuals sensitive to plants from the Asteraceae (daisy) family.
In rare circumstances, Echinacea may cause worsening of asthma. Monitor.",,"Caution with immunosuppressive drugs – Elderberry Echinacea & Olive Leaf may have an antagonistic effect (theoretical).
Caution with hypoglycaemic and antihypertensive medication – Olive leaf may have additive effects. Monitor blood sugar and blood pressure.",,~3 reference markers in DOCX text,immune_support,,,"Adult dose: Shake well before use. May be taken in water or juice.
Adults and children over 12 years – Take 10mL, three times a day. | Key ingredients: Sambucus nigra (Elderberry) fr, Olea europaea (Olive) leaf ext, Echinacea angustifolia (Echina | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,64,"Technical Information, Directions, Cautions",High,Unreviewed,
HOG-0036,Herbs of Gold,Evening Primrose Oil Daily,evening primrose oil daily,,capsule,200 capsules,"Take 1-2 capsules, three times a day, with food, or as directed by your health professional.",,"Adults – Take 1-2 capsules, three times a day, with food, or as directed by your health professional.","Cold pressed
Rich source of GLA","Limited safety data exists for the use of EPO in pregnancy, however it is not expected to have any adverse effects.",,"Caution with Tamoxifen (potentially beneficial effect).
Caution with lopinavir/ritonavir – EPO may increase drug levels (case report).
Caution with anticoagulant medications - GLA may affect coagulation although clinical significance is unknown.","Limited safety data exists for the use of EPO in pregnancy, however it is not expected to have any adverse effects.",~5 reference markers in DOCX text,"women_health, skin_health",pregnancy_review_required,,"Adult dose: Take 1-2 capsules, three times a day, with food, or as directed by your health professional. | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,65,"Technical Information, Directions, Cautions",Medium,Unreviewed,
HOG-0037,Herbs of Gold,Fish Oil 1000,fish oil 1000,,capsule,200 / 400 capsules,"Adults and children over 12 years – Take 1-2 capsules, three times a day, with food.
For joint health and muscle health: Take 2 capsules, two to three times a day, with food. Or take as directed by your health professional.",,"Adults and children over 12 years – Take 1-2 capsules, three times a day, with food.
For joint health and muscle health: Take 2 capsules, two to three times a day, with food. Or take as directed by your health professional.","Small wild cold-water fish
Mercury & heavy metal tested
Low reflux
Anti-inflammatory

Small wild cold-water fish
Mercury & heavy metal tested
Low reflux
Anti-inflammatory","Individuals with bleeding disorders should only take fish oil supplements under medical supervision.
Discontinue use 1 week before surgery.

Individuals with bleeding disorders should only take fish oil supplements under medical supervision.
Discontinue use 1 week before surgery.",,"Contraindicated with cisplatin, oxaliplatin and irinotecan (chemotherapeutic agents) – fish oils may cause platinum compound resistance. Avoid fish oils on the days surrounding chemotherapy.
Caution with warfarin and other anticoagulant/antiplatelet drugs - omega-3 triglycerides may potentiate anticoagulant effects.
Caution with antihypertensive drugs - fish oils may have additive effects. Monitor.
Caution with orlistat – drug inhibits the absorption of fat in the gut. Separate dose by 2 hours.
",,~6 reference markers in DOCX text,"heart_health, cholesterol_support","anticoagulant_review_required, antiplatelet, surgery_caution","anticoagulant, antiplatelet","Adult dose: Adults and children over 12 years – Take 1-2 capsules, three times a day, with food.
For joint health and muscle health: | Key ingredients: Natural fish oil | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,66,"Technical Information, Directions, Cautions",High,Unreviewed,
HOG-0038,Herbs of Gold,Folic Acid Complex,folic acid complex,,tablet,60 tablets,"Take 1 tablet daily, with food, or as directed by your health professional. Start taking 3 months prior to planning a pregnancy.",,"Adults – Take 1 tablet daily, with food, or as directed by your health professional. Start taking 3 months prior to planning a pregnancy.","Preconception care
Iodine for baby’s brain development
Activated vitamin B12

Preconception care
Iodine for baby’s brain development
Activated vitamin B12","None noted at the recommended dose.

None noted at the recommended dose.",,"Several medications may deplete folate status, including antacids (PPIs), trimethoprim (antibiotic), pyrimethamine (antimalarial), triamterene (blood pressure), sulfasalazine (for ulcerative colitis) and oral contraceptives. Separate dose by 2-3 hours.
Caution with methotrexate (folic acid antagonist) – co-administration with folate may reduce the effects. Patients should take folate only under the supervision of a health professional.
Caution with antiepileptic medications – folic acid may redu",,~6 reference markers in DOCX text,"b12_support, energy_support, nervous_system_support, folate_support, pregnancy_support, general_multivitamin, thyroid_condition_review_required",thyroid_condition_review_required,,"Adult dose: Take 1 tablet daily, with food, or as directed by your health professional. Start taking 3 months prior to planning a pr | Key ingredients: Folic acid, Mecobalamin (co-methylcobalami, Pyridoxine hydrochloride | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,68,"Technical Information, Directions, Cautions",High,Unreviewed,
HOG-0039,Herbs of Gold,Ginkgo Biloba 6000,ginkgo biloba 6000,,capsule,60 / 120 capsules,,,,High strength; Standardised to 28.8mg (24%) of Ginkgo flavonglycosides; Cognitive function,"Stop taking Ginkgo seven days before any surgery.
Contraindicated in people with epilepsy - Ginkgo may promote seizure activity.
Contraindicated in pregnancy and breastfeeding due to a lack of safety data.

Stop taking Ginkgo seven days before any surgery.
Contraindicated in people with epilepsy - Ginkgo may promote seizure activity.
Contraindicated in pregnancy and breastfeeding due to a lack of safety data.",,"Contraindicated with talinolol (beta-blocker medication) - Ginkgo may have additive effects.
Caution with blood thinning and anti-platelet medications (e.g. warfarin, aspirin and ibuprofen) – concurrent administration with Ginkgo may increase the risk of bleeding.
Caution with nexium – Ginkgo can increase the metabolising enzyme
Brondino, N., De Silvestri, A., Re, S., Lanati, N., Thiemann, P., Verna, A., ... & Politi, P. (2013). A systematic review and meta-analysis of Ginkgo biloba [...]: from ","Stop taking Ginkgo seven days before any surgery.
Contraindicated in people with epilepsy - Ginkgo may promote seizure activity.
Contraindicated in pregnancy and breastfeeding due to a lack of safety data.

Stop taking Ginkgo seven days before any surgery.
Contraindicated in people with epilepsy - Ginkgo may promote seizure activity.
Contraindicated in pregnancy and breastfeeding due to a lack of safety data.",~4 reference markers in DOCX text,"memory_support (review), anticoagulant_review_required","anticoagulant_review_required, antiplatelet, warfarin, surgery_caution, pregnancy_review_required, breastfeeding_review_required, seizure_disorder_review_required, surgery_caution","anticoagulant, antiplatelet, warfarin",Key ingredients: Ginkgo biloba (Ginkgo) leaf ex | Cautions: 1 flagged,herbsofgold_technical_manual.pdf,70,"Technical Information, Directions, Cautions",Medium,Unreviewed,
HOG-0040,Herbs of Gold,Ginseng 4 Energy Gold,ginseng 4 energy gold,,capsule,30 / 60 tablets,"Take 1 capsule, three times a day, with food, or as directed by your health professional.",,"Adults and children over 12 years - Take 1 tablet, twice daily, with food, or as directed by your health professional.
Adults and children over 12 years - Take 1 tablet, twice daily, with food, or as directed by your health professional.
Adults – Take 1 capsule, three times a day, with food, or as directed by your health professional.","Supports energy production
Aids a healthy stress response

Supports energy production
Aids a healthy stress response

With Gymnema & Cinnamon
Chromium for sugar metabolism","Contraindicated during pregnancy and lactation. Ginsengs have been shown to be potentially unsafe during pregnancy and should be avoided. No safety data currently exists regarding safety during breastfeeding.
Avoid use in hormone sensitive conditions.
Korean ginseng may have an additive stimulant effect with caffeine.

Contraindicated during pregnancy and lactation. Ginsengs have been shown to be potentially unsafe during pregnancy and should be avoided. No safety data currently exists regarding",,"Caution with monoamine oxidase inhibitor (MAOIs) antidepressant medications – concurrent use with Ginsengs can interfere with drug effects. Use under supervision of a health professional.
Caution with CNS stimulants - concurrent use with Ginsengs and Ashwagandha may have an additive effect.
Caution with immunosuppressant medication - concurrent use with Ginsengs and Ashwagandha may reduce their effectiveness.
Caution with antidiabetic medications - Korean ginseng may have additive hypoglycaemic ","Contraindicated during pregnancy and lactation. Ginsengs have been shown to be potentially unsafe during pregnancy and should be avoided. No safety data currently exists regarding safety during breastfeeding.
Avoid use in hormone sensitive conditions.
Korean ginseng may have an additive stimulant effect with caffeine.

Contraindicated during pregnancy and lactation. Ginsengs have been shown to be potentially unsafe during pregnancy and should be avoided. No safety data currently exists regarding safety during breastfeeding.
Avoid use in hormone sensitive conditions.
Korean ginseng may have an additive stimulant effect with caffeine.",~16 reference markers in DOCX text,"energy_support, stress_support","pregnancy_review_required, breastfeeding_review_required",,"Adult dose: Take 1 capsule, three times a day, with food, or as directed by your health professional. | Key ingredients: Panax ginseng (Korean ginseng), Eleutherococcus senticosus (Si, Panax quinquefolius (American  | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,72,"Technical Information, Directions, Cautions",High,Unreviewed,
HOG-0041,Herbs of Gold,GlucoPlex,glucoplex,,unknown,60 capsules,,,,,"Contraindicated during pregnancy and lactation.
Contraindicated in sarcoidosis or hyperparathyroidism without medical supervision.",,"Caution with hypoglycaemic medications and insulin – GlucoPlex may have additive effects. Monitor.
Caution with warfarin – ALA has reduced platelet reactivity in vitro, uncertain whether the effect is clinically significant.
Caution with anticoagulant/antiplatelet drugs – Fenugreek may have additive effects, increasing the risk of bruising and bleeding.
Caution with thyroxine – ALA may suppress the conversion of thyroxine to active T3 form and chromium can reduce thyroxine absorption. Separate d","Contraindicated during pregnancy and lactation.
Contraindicated in sarcoidosis or hyperparathyroidism without medical supervision.",~3 reference markers in DOCX text,"vitamin_d_support, bone_health, immune_support, skin_health, hair_nail_support, general_multivitamin, blood_sugar_support (review)","tetracycline_antibiotic, quinolone_antibiotic, penicillamine, hypercalcaemia_caution, renal_impairment_caution, sarcoidosis_caution, hyperparathyroidism_caution, antidiabetic, pregnancy_review_required, breastfeeding_review_required","antidiabetic, penicillamine, quinolone_antibiotic, tetracycline_antibiotic","Key ingredients: Nicotinamide, Chromic chloride hexahydrate, Chromium picolinate | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,74,"Technical Information, Directions, Cautions",Medium,Unreviewed,
HOG-0042,Herbs of Gold,Glucosamine MAX,glucosamine max,,capsule,90 / 180 tablets,"Adults and children over 12 years – Take 1 tablet daily, with food, or as directed by your health professional.",,"Adults and children over 12 years – Take 1 tablet daily, with food, or as directed by your health professional.","Glucosamine, Chondroitin & MSM
Relieves symptoms of mild arthritis

Glucosamine, Chondroitin & MSM
Relieves symptoms of mild arthritis","Not recommended in pregnancy or lactation due to lack of safety data.
Caution in individuals with clotting disorders (Ginger).
Caution in individuals with peptic ulcers and gallstones (Ginger).

Not recommended in pregnancy or lactation due to lack of safety data.
Caution in individuals with clotting disorders (Ginger).
Caution in individuals with peptic ulcers and gallstones (Ginger).",,"Contraindicated with warfarin and other anticoagulants – Ginger affects platelet aggregation and may increase the risk of bleeding. Glucosamine may theoretically have additive effects.

Contraindicated with warfarin and other anticoagulants – Ginger affects platelet aggregation and may increase the risk of bleeding. Glucosamine may theoretically have additive effects.","Not recommended in pregnancy or lactation due to lack of safety data.
Caution in individuals with clotting disorders (Ginger).
Caution in individuals with peptic ulcers and gallstones (Ginger).

Not recommended in pregnancy or lactation due to lack of safety data.
Caution in individuals with clotting disorders (Ginger).
Caution in individuals with peptic ulcers and gallstones (Ginger).",~6 reference markers in DOCX text,"immune_support, skin_health, hair_nail_support, joint_health (review)","tetracycline_antibiotic, quinolone_antibiotic, penicillamine, warfarin, anticoagulant_review_required, shellfish_allergy_caution, pregnancy_review_required, breastfeeding_review_required","anticoagulant, penicillamine, quinolone_antibiotic, tetracycline_antibiotic, warfarin","Adult dose: Adults and children over 12 years – Take 1 tablet daily, with food, or as directed by your health professional. | Key ingredients: Glucosamine hydrochloride, Bovine sodium chondroitin sulf, Dimethyl sulfone (MSM) | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,76,"Technical Information, Directions, Cautions",High,Unreviewed,
HOG-0043,Herbs of Gold,Gout Relief Complex,gout relief complex,,capsule,60 capsules,"Maintenance dose: Take 2 capsules daily, with food. Acute gout symptom relief: Take 2 capsules, twice daily, with food. Or take as directed by your health professional.",,"Adults – Maintenance dose: Take 2 capsules daily, with food. Acute gout symptom relief: Take 2 capsules, twice daily, with food. Or take as directed by your health professional.","Relieves symptoms of occasional episodes of gout

Relieves symptoms of occasional episodes of gout","Avoid in patients with kidney disease (Celery and potassium).
Contraindicated in pregnancy and breastfeeding.

Avoid in patients with kidney disease (Celery and potassium).
Contraindicated in pregnancy and breastfeeding.",,"Caution with thyroxine – Celery may reduce levels of thyroxine in the body. Monitor thyroid function.
Caution with anticoagulant and antiplatelet drugs – Celery, Alfalfa and potassium may increase the blood thinning effects. Separate dose by at least 2 hours.

Caution with thyroxine – Celery may reduce levels of thyroxine in the body. Monitor thyroid function.
Caution with anticoagulant and antiplatelet drugs – Celery, Alfalfa and potassium may increase the blood thinning effects. Separate dose ","Avoid in patients with kidney disease (Celery and potassium).
Contraindicated in pregnancy and breastfeeding.

Avoid in patients with kidney disease (Celery and potassium).
Contraindicated in pregnancy and breastfeeding.",~12 reference markers in DOCX text,"magnesium_support, muscle_cramps, sleep_support, stress_support, nervous_system_support","tetracycline_antibiotic, quinolone_antibiotic, bisphosphonate, renal_impairment_caution, pregnancy_review_required, breastfeeding_review_required, renal_impairment_caution","bisphosphonate, quinolone_antibiotic, tetracycline_antibiotic","Adult dose: Maintenance dose: Take 2 capsules daily, with food. Acute gout symptom relief: Take 2 capsules, twice daily, with food.  | Key ingredients: Potassium citrate, Magnesium citrate | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,78,"Technical Information, Directions, Cautions",High,Unreviewed,
HOG-0044,Herbs of Gold,Grape Seed Gold,grape seed gold,,tablet,60 / 120 tablets,"Adults only – Take 1 tablet daily, with food, or as directed by your health professional. Not recommended for use by pregnant and lactating women.",,"Adults only – Take 1 tablet daily, with food, or as directed by your health professional. Not recommended for use by pregnant and lactating women.","Grape seed 30 000mg
Potent antioxidant formula
With glutathione

Grape seed 30 000mg
Potent antioxidant formula
With glutathione","Not recommended in pregnancy or breastfeeding due to a lack of safety data on Grape seed.
Use in caution if there is a history of renal calculi (kidney stones) as vitamin C may increase the risk of recurrence of calcium oxalate calculi.
Caution with iron overload conditions, such as haemochromatosis, as vitamin C increases iron absorption.

Not recommended in pregnancy or breastfeeding due to a lack of safety data on Grape seed.
Use in caution if there is a history of renal calculi (kidney stone",,"Caution with anticoagulants and antiplatelet medications – Grape seed and vitamin E theoretically have additive effects. Monitor.
Caution with antidepressants, antipsychotic medication and beta blockers (hypertensive medication) – vitamin E may affect efficacy.
Caution with NSAIDs, cefalexin, penicillamine and tetracycline and quinolone antibiotics (broad-spectrum antibiotics) - zinc may interfere with their absorption. Separate doses by 3 hours.

Caution with anticoagulants and antiplatelet med","Not recommended in pregnancy or breastfeeding due to a lack of safety data on Grape seed.
Use in caution if there is a history of renal calculi (kidney stones) as vitamin C may increase the risk of recurrence of calcium oxalate calculi.
Caution with iron overload conditions, such as haemochromatosis, as vitamin C increases iron absorption.

Not recommended in pregnancy or breastfeeding due to a lack of safety data on Grape seed.
Use in caution if there is a history of renal calculi (kidney stones) as vitamin C may increase the risk of recurrence of calcium oxalate calculi.
Caution with iron overload conditions, such as haemochromatosis, as vitamin C increases iron absorption.",~4 reference markers in DOCX text,"immune_support, skin_health, hair_nail_support, antioxidant_support, eye_health, anticoagulant_review_required","tetracycline_antibiotic, quinolone_antibiotic, penicillamine, anticoagulant_review_required, warfarin, pregnancy_review_required, breastfeeding_review_required, renal_impairment_caution","anticoagulant, penicillamine, quinolone_antibiotic, tetracycline_antibiotic, warfarin","Adult dose: Adults only – Take 1 tablet daily, with food, or as directed by your health professional. Not recommended for use by pre | Key ingredients: Glutathione, Betacarotene, Ascorbic acid (vitamin C) | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,80,"Technical Information, Directions, Cautions",High,Unreviewed,
HOG-0045,Herbs of Gold,Gut Care,gut care,,gel,5 g,"Adults and children over 12 years – Mix 5g (one level scoop) in 150mL water or juice, once daily, with food, or as directed by your health professional. Scoop included.",,"Adults and children over 12 years – Mix 5g (one level scoop) in 150mL water or juice, once daily, with food, or as directed by your health professional. Scoop included.","With Aloe vera & Slippery elm
Glutamine 3.5g
Delicious vanilla flavour

With Aloe vera & Slippery elm
Glutamine 3.5g
Delicious vanilla flavour","Contraindicated during pregnancy.
Contraindicated in hypotonia, severe renal insufficiency, hypokalaemia, liver cirrhosis, cholestatic liver disease (Licorice) and intestinal obstruction (Slippery elm).
Discontinue Gut Care 1 week prior to surgery.

Contraindicated during pregnancy.
Contraindicated in hypotonia, severe renal insufficiency, hypokalaemia, liver cirrhosis, cholestatic liver disease (Licorice) and intestinal obstruction (Slippery elm).
Discontinue Gut Care 1 week prior to surgery.",,"Theoretically, Slippery elm may slow the absorption and reduce serum levels of orally administered drugs due to its mucilage content.
Clinical significance is unclear. Caution is warranted with drugs with a narrow therapeutic range (e.g. barbiturates, digoxin, lithium, phenytoin, warfarin). Separate dose by 2 hours.
Caution with warfarin and digoxin – Licorice may affect drug metabolism.
Caution with glucose lowering medications (including metformin) – Aloe vera given in conjunction with glucose","Contraindicated during pregnancy.
Contraindicated in hypotonia, severe renal insufficiency, hypokalaemia, liver cirrhosis, cholestatic liver disease (Licorice) and intestinal obstruction (Slippery elm).
Discontinue Gut Care 1 week prior to surgery.

Contraindicated during pregnancy.
Contraindicated in hypotonia, severe renal insufficiency, hypokalaemia, liver cirrhosis, cholestatic liver disease (Licorice) and intestinal obstruction (Slippery elm).
Discontinue Gut Care 1 week prior to surgery.",~10 reference markers in DOCX text,"immune_support, skin_health, hair_nail_support, gut_health, gastrointestinal_support (review)","tetracycline_antibiotic, quinolone_antibiotic, penicillamine, pregnancy_review_required, renal_impairment_caution, liver_impairment_caution, surgery_caution","penicillamine, quinolone_antibiotic, tetracycline_antibiotic","Adult dose: Adults and children over 12 years – Mix 5g (one level scoop) in 150mL water or juice, once daily, with food, or as direc | Key ingredients: Ulmus rubra (Slippery elm) inn, Glutamine (L-Glutamine), Quercetin dihydrate (Quercetin | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,82,"Technical Information, Directions, Cautions",High,Unreviewed,
HOG-0046,Herbs of Gold,Hawthorn 4500,hawthorn 4500,,tablet,60 tablets,"FEATURES & BENEFITS
Heart tonic
Cardiovascular system health",,"FEATURES & BENEFITS
Heart tonic
Cardiovascular system health",,"Contraindicated during pregnancy.
Hawthorn may inhibit platelet aggregation and increase the risk of postoperative bleeding. Discontinue use 2 weeks prior to surgery.",,"Caution with digoxin - Hawthorn improves cardiac output and might potentiate the effects of digoxin requiring digoxin dose reduction. Monitor.
Caution with nitrates, calcium channel blockers and beta-blockers | Hawthorn has vasodilatory effects and may theoretically have an additive effect. Use under medical supervision.
Caution with blood pressure lowering drugs such as viagra, cialis and levitra - Hawthorn may have an additive effect with these medications. Monitor blood pressure.","Contraindicated during pregnancy.
Hawthorn may inhibit platelet aggregation and increase the risk of postoperative bleeding. Discontinue use 2 weeks prior to surgery.",~1 reference markers in DOCX text,heart_health,"pregnancy_review_required, surgery_caution",,"Adult dose: FEATURES & BENEFITS
Heart tonic
Cardiovascular system health | Key ingredients: Crataegus monogyna (Hawthorn) , Crataegus monogyna (Hawthorn)  | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,84,"Technical Information, Directions, Cautions",High,Unreviewed,
